time,IP,SXR,FIR,PD,DML
0,946.730519964243,NaN,NaN,-0,-7.55638050298951e-05
0.0001,947.94923876313,NaN,-7.17987810166182e+15,-0,-7.52748307071546e-05
0.0002,921.04362520346,NaN,393928524977700,-0,-8.1992787509797e-05
0.0003,930.588604401756,NaN,-1.72512701004269e+15,0.00244223187267224,-8.80883672577218e-05
0.0004,973.852680714928,NaN,8.04950059809972e+15,-0,-7.73245462008027e-05
0.0005,958.903609600226,NaN,-5.31712882212084e+15,-0,-7.82791849038995e-05
0.0006,934.524524599365,NaN,4.49401841218793e+15,-0,-8.58652650964884e-05
0.0007,903.017014304371,NaN,1.93448696063476e+16,-0,-8.83415449531532e-05
0.0008,866.2181706852,NaN,4.99517782883792e+15,-0,-9.16296187664062e-05
0.0009,874.036940493938,NaN,1.20849357945425e+16,0.0024412025721602,-8.81895825553367e-05
0.001,893.577530881025,NaN,1.42133897301566e+16,-0,-8.47756207383074e-05
0.0011,895.815739578983,NaN,9.52105313136323e+15,-0,-7.57699933087538e-05
0.0012,924.322419584792,NaN,1.08150342609852e+16,-0,-6.53414866843186e-05
0.0013,910.61799531669,NaN,4.6042906805903e+15,-0,-7.1221833581913e-05
0.0014,915.424231107066,NaN,2.12712934669204e+15,-0,-7.61066316249275e-05
0.0015,914.966848539114,NaN,7.17327527020292e+15,-0,-8.02738454206197e-05
0.0016,922.682605490283,NaN,2.17156679175446e+16,-0,-8.98821867533978e-05
0.0017,945.136668783173,NaN,1.26687084912189e+16,-0.00244089499883566,-8.42873524365773e-05
0.0018,948.468713652763,NaN,1.88109459920255e+16,-0.0048824049545879,-7.92363304757071e-05
0.0019,940.324502751602,NaN,1.7857505637893e+16,-0.0048828125,-7.15564928872842e-05
0.002,947.656466487262,NaN,1.56566949207295e+16,-0.0048828125,-6.06525786301783e-05
0.0021,949.749289084848,NaN,2.03343684342855e+15,-0.00244130982184462,-5.13419695912429e-05
