time,IP,SXR,FIR,PD,DML
0,679.864609110199,NaN,NaN,-0,0.000100866863762136
0.0001,697.182183764852,NaN,-1.14197704603604e+16,-0,9.07689842490393e-05
0.0002,693.316238206524,NaN,-1.08025517410103e+16,-0,8.13727083486639e-05
0.0003,715.055076507029,NaN,-2.27464029001071e+16,-0,6.927011663362e-05
0.0004,721.83412836012,NaN,-1.98173899398738e+16,-0,6.72192737221478e-05
0.0005,720.075621442938,NaN,-3.58396923990991e+16,-0,7.86670102561348e-05
0.0006,725.971784367551,NaN,-7.78809024468276e+16,-0,9.33879653591173e-05
0.0007,716.147416277982,NaN,-7.85947744531158e+16,-0,9.47446136250432e-05
0.0008,727.509846853467,NaN,-5.89171613510231e+16,-0.0048828125,9.52804577927615e-05
0.0009,717.542089425539,NaN,-6.15238140706872e+16,-0,0.000101839440087738
0.001,726.062962998873,NaN,-7.91560829371127e+16,-0,0.000105042400997933
0.0011,774.455398033823,NaN,-8.88132060043714e+16,-0,9.60361255994367e-05
0.0012,787.393181799389,NaN,-7.33825569017254e+16,-0,8.71981663920937e-05
0.0013,801.340786160282,NaN,-8.00847491173557e+16,-0.00244048017582683,8.65532178425505e-05
0.0014,778.698867072035,NaN,-7.98148995332958e+16,-0,8.45746382707824e-05
0.0015,801.4261445813,NaN,-8.7355953076351e+16,-0.00244068758733118,8.34570676798064e-05
0.0016,841.614026172108,NaN,-9.71420317206321e+16,-0,8.61253103573642e-05
0.0017,822.56193663122,NaN,-1.01356004770445e+17,-0.0048828125,8.89362321396195e-05
0.0018,816.889758044171,NaN,-9.21333813632812e+16,-0.0048828125,8.48647483635632e-05
0.0019,836.450162943934,NaN,-9.54003176545621e+16,-0.0048828125,8.33518763986906e-05
0.002,817.497843092363,NaN,-8.97025247032792e+16,-0.0048828125,9.36152900634217e-05
0.0021,804.937888388567,NaN,-1.08702172500119e+17,-0.0048828125,0.000105666650739802
0.0022,810.381874135643,NaN,-1.36407560531994e+17,-0.0048828125,0.000114223143438635
0.0023,829.336837719523,NaN,-1.37152513181329e+17,-0,0.000107794253538247
0.0024,835.831993213764,NaN,-1.33811510953317e+17,-0,0.000102306310658821
0.0025,840.409918850919,NaN,-1.45524643459019e+17,-0,0.000100130555012957
0.0026,862.353302120852,NaN,-1.50449828345848e+17,-0,9.69942865026304e-05
0.0027,922.58059475345,NaN,-1.97241675201601e+17,-0,8.70088797663999e-05
0.0028,946.101881420753,NaN,-2.10650811429532e+17,-0,7.3108369310684e-05
0.0029,957.742951983388,NaN,-2.03431411425493e+17,-0,6.86836421701455e-05
0.003,923.220108541605,NaN,-1.88414451936966e+17,-0,7.68595978214447e-05
0.0031,953.740153120461,NaN,-2.08667908493688e+17,-0,8.82432000711699e-05
0.0032,942.762512583206,NaN,-2.12947859948733e+17,-0,9.52885019996921e-05
0.0033,936.78047622274,NaN,-2.12873588022979e+17,-0,9.64769404256079e-05
0.0034,938.342685817961,NaN,-2.15337199872526e+17,-0,9.66466447521063e-05
0.0035,911.888303739454,NaN,-1.94669037268601e+17,-0,0.000106802754195438
0.0036,897.927153043639,NaN,-1.95818740516556e+17,-0,0.000116537981304544
0.0037,910.869596573884,NaN,-1.96021173885028e+17,-0,0.000121941575398782
0.0038,905.865275160627,NaN,-2.09878798872264e+17,-0,0.000117372330852853
0.0039,924.085821723738,NaN,-1.86285873094302e+17,-0,0.000101325128560298
0.004,906.703554487881,NaN,-1.57136970636512e+17,-0,8.51405941400731e-05
0.0041,889.764463310465,NaN,-1.3817821379685e+17,-0.00244110968793687,8.14874968779827e-05
0.0042,867.513544287167,NaN,-1.35001364161302e+17,0.0048828125,8.88588510467022e-05
0.0043,844.677100393186,NaN,-1.47906816521101e+17,0.0048828125,9.533877720145e-05
0.0044,813.563216981013,NaN,-1.40091905869743e+17,0.0048828125,9.82658700678382e-05
0.0045,799.15046758022,NaN,-1.1511859277917e+17,0.009765625,9.67315499110511e-05
