time,IP,SXR,FIR,PD,DML
0,1031.99575554685,NaN,NaN,-0,3.28811299939961e-05
0.0001,1035.74932629153,NaN,-1.03841166024707e+17,-0,4.50694671258898e-05
0.0002,1045.82849854458,NaN,-7.5273608077109e+16,-0,5.10327281860712e-05
0.0003,1019.51050472095,NaN,-5.85621197785416e+16,-0,5.82806530652506e-05
0.0004,1013.61621029825,NaN,-1.45792743536014e+16,4.14629888279853e-07,6.79261718176503e-05
0.0005,1012.21789354654,NaN,-1.54184211279533e+16,-0,7.09287931850398e-05
0.0006,1023.26316256914,NaN,-4.01526045713925e+16,6.2194483243632e-07,6.62122568139874e-05
0.0007,1020.74482327897,NaN,-3.29996350516531e+16,-0,6.58288228669797e-05
0.0008,994.735491747523,NaN,-2.4465740889704e+16,0.00488136856959965,6.91555632694033e-05
0.0009,999.442798956626,NaN,-1.60850777180691e+15,-0,7.4762657995772e-05
0.001,965.495697651478,NaN,1.44614311441581e+16,-0.0048828125,7.50020134973304e-05
0.0011,981.854700123993,NaN,-1.39391879577468e+16,-0,7.08833546639167e-05
0.0012,988.542999634284,NaN,-1.73356297335581e+16,-0.0048828125,7.28759093564897e-05
0.0013,980.653255668253,NaN,1.97929792177559e+16,-0.00244233232417317,6.91906493273286e-05
0.0014,1001.14884538187,NaN,-3.17145784783074e+15,0.00488116852886404,6.10002708098217e-05
0.0015,983.663664224872,NaN,-2.03169580785962e+16,-0.0048828125,6.38727050097559e-05
0.0016,995.907324708894,NaN,-6.41046505947134e+15,-0.0048828125,6.60464365906676e-05
0.0017,1023.00459365118,NaN,-7.02249264836708e+15,-0,6.32056080465232e-05
0.0018,1011.06643789995,NaN,1.70770632389e+15,-0,6.24981862473133e-05
0.0019,1008.03516278005,NaN,4.71027200453663e+15,-0,6.88722951052554e-05
0.002,1033.32997678016,NaN,4.15635465292698e+16,-0,7.17946456565441e-05
0.0021,1059.93653739594,NaN,3.6318126710804e+16,-0,6.93136028675984e-05
0.0022,1080.43486324517,NaN,5.26280135608733e+16,-0,6.14630445876687e-05
0.0023,1098.30619264028,NaN,8.74216925936215e+16,-0,5.07769471729153e-05
0.0024,1102.48395441537,NaN,9.30958556690534e+16,-0.00488259791084716,4.8607659532996e-05
0.0025,1095.64113260274,NaN,1.33728625141026e+17,0.00244058790153634,6.20187445697075e-05
0.0026,1061.28159948786,NaN,1.74077542352995e+17,-0,7.77314840133288e-05
0.0027,1025.30132905989,NaN,1.57193610986796e+17,-0,9.10538934607861e-05
0.0028,1019.88887952012,NaN,1.59913695101728e+17,-0,9.83303958611009e-05
0.0029,1008.69938434986,NaN,1.6205644672705e+17,-0,8.96394647636364e-05
0.003,1016.7721576421,NaN,1.74108287646597e+17,-1.4366561917683e-06,7.86873260774501e-05
0.0031,988.783158491903,NaN,1.79277214627505e+17,-0.00244160265363109,7.61402938011823e-05
0.0032,980.599996876865,NaN,1.98440220380025e+17,-1.22934124757875e-06,7.69557002217227e-05
0.0033,978.462935715184,NaN,1.83101127888452e+17,-0.00244139533868716,7.11222505587108e-05
0.0034,1000.5984460167,NaN,1.87963328164559e+17,-0.0048828125,6.11034500781592e-05
0.0035,1016.44538578525,NaN,1.94185026506388e+17,-0.0048828125,5.24112778028675e-05
0.0036,1013.24637279162,NaN,1.94181400812884e+17,-0,4.22238340456534e-05
0.0037,1015.51634812311,NaN,2.0931987422419e+17,-0,4.57197781801582e-05
0.0038,1015.16052571595,NaN,1.71412260907841e+17,-0,5.62533448529011e-05
0.0039,1024.11272615043,NaN,1.53942162257016e+17,0.00244191022356761,6.07345597367697e-05
0.004,985.662282021706,NaN,1.52772717958182e+17,-0,5.93888799438108e-05
0.0041,987.523432334112,NaN,1.46326377151258e+17,-0,6.08254437252693e-05
0.0042,963.102299732987,NaN,1.67637649222414e+17,-0,6.8125983799921e-05
0.0043,959.710015392208,NaN,1.56689788269536e+17,0.00244149540055892,7.24808651424863e-05
0.0044,962.172896900141,NaN,1.7696963654859e+17,-0,7.03127223419284e-05
0.0045,946.533367989468,NaN,1.68313199696387e+17,-0,7.14072842217251e-05
0.0046,965.219266903028,NaN,1.55435529720683e+17,-0,7.27841860021956e-05
0.0047,920.315968259854,NaN,1.67194423600918e+17,-0,7.14348012227637e-05
0.0048,904.543683880783,NaN,1.93166026801403e+17,-0,6.80580287126528e-05
0.0049,917.041093908997,NaN,2.07131810388757e+17,-0,5.30413905533e-05
0.005,934.280558677555,NaN,2.12805982305462e+17,0.0048821760067504,4.53850741841452e-05
0.0051,884.01244227503,NaN,2.3186241368336e+17,0.00244100980563337,5.60083394143364e-05
0.0052,848.260454594034,NaN,2.14237408815358e+17,-0,7.30137538426408e-05
0.0053,821.825433192533,NaN,2.27294707857853e+17,0.0048828125,7.98765062289568e-05
0.0054,830.734953790997,NaN,2.4370842318563e+17,0.0048828125,7.77921285302998e-05
0.0055,825.316500095445,NaN,2.33230615673202e+17,0.0048828125,7.39661651117204e-05
0.0056,812.204939717111,NaN,2.08140107578614e+17,0.009765625,5.83581219254122e-05
0.0057,788.698313954019,NaN,1.96628607252789e+17,0.0146484375,4.67144380582575e-05
0.0058,730.406928139433,NaN,2.41866250479737e+17,0.01953125,5.15551240628331e-05
0.0059,665.924354109361,NaN,2.16857413726523e+17,0.029296875,7.11162382662152e-05
0.006,589.007419610516,NaN,2.08925289936459e+17,0.0390625,8.73883371309381e-05
0.0061,495.434904113274,NaN,2.1757159619111e+17,0.048828125,8.86114250357471e-05
0.0062,459.149100067684,NaN,1.764255575223e+17,0.05859375,8.03961671803355e-05
0.0063,362.917337750892,NaN,1.79652018275495e+17,0.0708004919655333,6.83455207357649e-05
0.0064,303.47503664932,NaN,1.80393498896498e+17,0.0830078125,5.84722242924799e-05
0.0065,174.004708929377,NaN,1.90327988156768e+17,0.09765625,5.23342476072718e-05
0.0066,101.593041282405,NaN,1.72036689840809e+17,0.112304709322626,5.18449727378545e-05
0.0067,-21.3544636907314,NaN,1.80412564850495e+17,0.13671875,5.79016978331149e-05
0.0068,-128.107510299297,NaN,1.88679156317132e+17,0.1611328125,6.11351037905596e-05
0.0069,-220.450137151133,NaN,1.89362805498396e+17,0.187987477449954,5.88596033283797e-05
0.007,-322.243878815898,NaN,2.02744781532248e+17,0.219726998952514,5.44501249490767e-05
0.0071,-453.235805801701,NaN,1.94870925091275e+17,0.261229872264898,4.34140224645804e-05
0.0072,-614.409358578445,NaN,1.86623226181067e+17,0.297852206267459,3.54576385088256e-05
0.0073,-756.81175331007,NaN,2.0183983294105e+17,0.3369140625,3.65197612465131e-05
0.0074,-922.900297708396,NaN,2.28539743889026e+17,0.3564453125,5.03850838823546e-05
0.0075,-1012.33816020811,NaN,2.11536974772606e+17,0.373535338105214,5.770935408233e-05
0.0076,-1057.30514979468,NaN,2.33510022927541e+17,0.410155035207169,5.83217059024687e-05
0.0077,-1097.56513351507,NaN,2.35146065406489e+17,0.4443359375,5.62981868835018e-05
0.0078,-1154.54158961887,NaN,2.11184804714691e+17,0.4833984375,5.26146197423971e-05
0.0079,-1281.05856246601,NaN,2.29301291635854e+17,0.537109375,4.56943687927285e-05
0.008,-1405.9414798146,NaN,2.30337465247199e+17,0.595702324837058,4.21988939817443e-05
0.0081,-1557.83983575918,NaN,2.44533630415552e+17,0.661620396920121,5.84649893213218e-05
0.0082,-1749.82541645403,NaN,2.56325205631481e+17,0.727538469652002,7.92473329970062e-05
0.0083,-1908.13491570019,NaN,2.6349496391031e+17,0.803222166831626,9.27828196425205e-05
0.0084,-2067.41142461846,NaN,2.71141764974482e+17,0.893553916074757,9.653002339854e-05
0.0085,-2225.31775150151,NaN,2.87418008492379e+17,0.996093185986261,9.06838831440151e-05
0.0086,-2397.37207507868,NaN,3.30761582895696e+17,1.10351544669888,7.56564741579569e-05
0.0087,-2569.15664241517,NaN,3.48297671443973e+17,1.22558578830927,5.90984795607818e-05
0.0088,-2808.49636410766,NaN,3.78879292538566e+17,1.35253912069367,5.03182418917567e-05
0.0089,-3001.62422366191,NaN,3.99886056759905e+17,1.48193058222765,4.80418912685991e-05
0.009,-3178.43975022375,NaN,4.45553595067967e+17,1.61132883423534,4.77573654590356e-05
