time,IP,SXR,FIR,PD,DML
0,799.986149093392,NaN,NaN,-0.0048828125,-6.04675114811126e-05
0.0001,809.840651499879,NaN,2.27288136553893e+16,-2.06587523276895e-06,-5.26589511742378e-05
0.0002,799.214661583498,NaN,2.3911854083672e+16,0.00488260518505586,-5.00554257815887e-05
0.0003,821.302883016436,NaN,3.25514075813797e+16,-0,-4.94375458835993e-05
0.0004,831.618706021747,NaN,-64452673236022.1,0.00488239787011172,-5.1183634087563e-05
0.0005,837.623072327897,NaN,1.82033205850188e+16,-0,-5.15406019935377e-05
0.0006,834.950665962083,NaN,3.32493361873979e+16,-0,-5.64090972069176e-05
0.0007,864.196826383716,NaN,6.92073601202031e+16,0.00244181724278399,-5.36071641368712e-05
0.0008,862.654073147674,NaN,5.20595177435214e+16,-0,-4.96166091485777e-05
0.0009,866.851934551689,NaN,7.01486451948238e+16,0.0024412025721602,-4.97779165529127e-05
0.001,878.685483715617,NaN,8.11293721419018e+16,0.00488157588454377,-5.1726129260114e-05
0.0011,901.820116180405,NaN,4.64279778669013e+16,-0,-5.03100871556907e-05
0.0012,894.71894726225,NaN,4.35548015963864e+16,0.00488178319948796,-5.15643227162756e-05
0.0013,888.812523192021,NaN,8.65299557341091e+16,-0,-5.05699764010766e-05
0.0014,892.341762078297,NaN,1.06473776178122e+17,-0,-4.35488098803772e-05
0.0015,895.129624998254,NaN,8.83096788665233e+16,-0,-4.25695895177606e-05
0.0016,907.269088203148,NaN,8.7283929482583e+16,-0,-4.53406309287901e-05
0.0017,942.387992324265,NaN,1.20503909801081e+17,-0,-5.18296879497818e-05
0.0018,930.139631119481,NaN,1.21641348676491e+17,-0.0048819974091758,-5.66836870606207e-05
0.0019,955.907909632235,NaN,3.32740355858769e+16,0.00244110241034001,-6.20796120931137e-05
0.002,992.207156006732,NaN,3.08703877210531e+16,-2.00133907752947e-07,-6.12158224454091e-05
0.0021,1002.13156101036,NaN,2.66095625555186e+16,-0,-6.07825384626395e-05
0.0022,1049.6795970191,NaN,5.39681221634449e+16,-7.27420864698021e-09,-5.85287972610928e-05
0.0023,1026.72721941928,NaN,5.83326443460382e+16,-0,-5.39800754628401e-05
0.0024,1004.32584301671,NaN,-4.44043718094631e+15,-0,-5.54907835780086e-05
0.0025,1014.99166940912,NaN,4.02281324575859e+16,-0,-6.10018875638133e-05
0.0026,1036.89996149387,NaN,2.67499350639291e+16,4.21904097026071e-07,-6.81705470599916e-05
0.0027,1038.00170338014,NaN,1.26270626237282e+16,-0,-7.66153430175181e-05
0.0028,1032.39918976926,NaN,-9.35161226025279e+15,6.29219040950983e-07,-8.05331324339823e-05
0.0029,1054.09680365088,NaN,9.76070129452835e+15,-0,-7.85046552282928e-05
0.003,1061.67519140974,NaN,-2.53028707083851e+16,1.4366561917683e-06,-7.27307515863231e-05
0.0031,1067.43811217106,NaN,-3.06383593708983e+16,-0,-6.85732620717742e-05
0.0032,1068.80639146312,NaN,-4.58493862382485e+16,0.0048828125,-7.11655609293559e-05
0.0033,1079.70480874926,NaN,-8.8039663401011e+16,0.00244141716131284,-7.87811664982918e-05
0.0034,1100.03228561252,NaN,-5.16754166586964e+16,-0,-8.33665015931181e-05
0.0035,1092.54491781744,NaN,-8.95069445755316e+16,0.00244048745342343,-8.64324986118645e-05
0.0036,1059.13235049492,NaN,-9.44413294052709e+16,-0,-8.20755821161657e-05
0.0037,1050.77496946653,NaN,-1.23011217023879e+17,-0,-7.46474671133858e-05
0.0038,1061.22595923928,NaN,-8.88819617646797e+16,-6.07396415274646e-07,-6.95066158062139e-05
0.0039,1061.3807883549,NaN,-5.40818095090531e+16,-0.00244090227643239,-7.19821274136349e-05
0.004,1077.27329120884,NaN,-5.58031269861032e+16,0.00488241223218449,-8.02534195027399e-05
0.0041,1064.56956408299,NaN,-8.23535961610681e+16,5.93124126266678e-07,-9.48814819420242e-05
0.0042,1091.69659426494,NaN,-8.21700153330513e+16,-0.0048828125,-0.000109135786917172
0.0043,1070.80158467181,NaN,-7.52665035347039e+16,0.00244131709944108,-0.000106936799256793
0.0044,1034.5967876292,NaN,-8.24985724734247e+16,-0,-9.6287878755873e-05
0.0045,1045.81551910524,NaN,-9.79347345890379e+16,-0,-8.69839452921675e-05
0.0046,1045.14836294324,NaN,-8.23090927760604e+16,0.00488259063663878,-8.24450968503308e-05
0.0047,1048.77865386989,NaN,-1.06922762299428e+17,0.00244221732425501,-8.5421731331603e-05
0.0048,1054.75698201565,NaN,-1.14667567193434e+17,-0,-9.22287186048953e-05
0.0049,1079.91726069563,NaN,-1.30597573329292e+17,0.00244080249068892,-0.000102763914188891
0.005,1065.42032142175,NaN,-1.40069656947427e+17,0.0048828125,-0.000111079719349136
0.0051,1046.21133470952,NaN,-1.39879076662654e+17,0.00244100980563337,-0.000105951478569774
0.0052,1055.81121145895,NaN,-1.47022504942826e+17,0.00488138311801714,-9.59415723628661e-05
0.0053,1046.47131692305,NaN,-1.77243170424148e+17,-0,-9.08637408356247e-05
0.0054,1058.80951543645,NaN,-2.03746629795015e+17,1.22206703893175e-06,-8.76310039019776e-05
0.0055,1056.85395317505,NaN,-2.14550947161494e+17,0.00244142443552175,-9.35942259786709e-05
0.0056,1079.67463775491,NaN,-2.17114928516334e+17,0.00488179774790499,-9.81681458251295e-05
0.0057,1081.97646163122,NaN,-2.48427532404428e+17,0.00244231776897985,-0.000101301480901521
0.0058,1074.94468172769,NaN,-2.22736841287194e+17,-0,-9.98152705739614e-05
0.0059,1056.28005804878,NaN,-2.2323013985852e+17,0.00244070214252437,-8.58707718343443e-05
0.006,1019.8621422592,NaN,-2.50399118816129e+17,6.00122206627644e-07,-7.27644214622096e-05
0.0061,1016.85817269552,NaN,-2.45076414214761e+17,-9.93391941771921e-07,-6.73768560152733e-05
0.0062,1050.20344082986,NaN,-2.49500564919518e+17,3.92990218513515e-07,-6.72994405267781e-05
0.0063,1043.6215445387,NaN,-2.54854006019624e+17,0.00244111696553333,-7.03520548666596e-05
0.0064,1053.12469826384,NaN,-2.52166022956984e+17,0.0048828125,-7.55801175247142e-05
0.0065,1057.95173954065,NaN,-2.76645702638241e+17,0.0048828125,-8.10192071795114e-05
0.0066,1057.52356448897,NaN,-2.66932629643105e+17,0.0048828125,-7.73632152635977e-05
0.0067,1017.66936768218,NaN,-2.39006373348004e+17,0.0048828125,-6.66693894765356e-05
0.0068,1032.61323939055,NaN,-2.34289791104379e+17,0.0048828125,-5.99929394893518e-05
0.0069,1009.97593080513,NaN,-2.42223083816793e+17,0.0048828125,-5.93792754440364e-05
0.007,986.105461454298,NaN,-2.00235631073938e+17,0.00488324895251406,-6.34140652463287e-05
0.0071,993.856677690843,NaN,-2.5824236388862e+17,0.009765625,-7.13501367286593e-05
0.0072,994.402664158178,NaN,-2.06784895030701e+17,0.009765625,-8.03774284299201e-05
0.0073,967.981578049808,NaN,-1.34378224399494e+17,0.0122074204201582,-8.18521227887543e-05
0.0074,911.036488974737,NaN,-1.56245163289138e+17,0.0146484375,-7.23217555113204e-05
0.0075,857.541484136103,NaN,-1.34219340992852e+17,0.0146484375,-6.42116319420519e-05
0.0076,809.057522284016,NaN,-1.44248866845306e+17,0.01953125,-6.03299060479141e-05
0.0077,790.682222690005,NaN,-1.30585992530636e+17,0.0244140625,-6.22741840175782e-05
0.0078,769.026780764396,NaN,-1.05854837854811e+17,0.029296875,-6.76945126607556e-05
0.0079,718.584876361833,NaN,-9.75842452519053e+16,0.0341796875,-7.51337118342345e-05
0.008,661.22423529511,NaN,-8.48856893136177e+16,0.0439453125,-8.24652485771735e-05
0.0081,592.513775813958,NaN,-1.10621272671004e+17,0.0537109375,-7.77410418833068e-05
0.0082,481.727123886625,NaN,-6.32027699757765e+16,0.0634765625,-6.70851884481051e-05
0.0083,413.663068478099,NaN,-7.07988922807823e+16,0.0805659168316256,-5.65687176744474e-05
0.0084,316.311770425054,NaN,-7.1752603083614e+16,0.0927734375,-4.953540031548e-05
0.0085,214.190066010212,NaN,-5.99763370209098e+16,0.1171875,-4.98945243698678e-05
0.0086,137.295234599586,NaN,-8.94375783291788e+16,0.141601384198882,-5.33455704658956e-05
0.0087,3.93372789110071,NaN,-2.79749299269384e+16,0.173339769154635,-5.76660190346716e-05
0.0088,-141.351790874728,NaN,-5.85154289043268e+16,0.205078125,-6.10649830578392e-05
0.0089,-289.719689736666,NaN,-4.28779404857078e+16,0.241698214909218,-5.51195444323495e-05
0.009,-406.687366205112,NaN,7.13706616847571e+15,0.278320548911779,-4.84502346610938e-05
0.0091,-541.420904988675,NaN,-3.48507257956174e+16,0.33203125,-4.55010822594304e-05
0.0092,-669.233522837944,NaN,2.51705706839209e+16,0.3857421875,-4.52958762151893e-05
0.0093,-806.282392239763,NaN,5.39298308236598e+16,0.444334759078214,-4.82562237473719e-05
0.0094,-932.103968750582,NaN,5.37266927865699e+16,0.517579427083334,-5.24477711203813e-05
0.0095,-1092.59132541821,NaN,9.62836849433544e+16,0.60302696185405,-5.81108502479891e-05
0.0096,-1273.73634106451,NaN,1.23026889644413e+17,0.693357960166434,-5.41437924606031e-05
0.0097,-1447.13748934312,NaN,1.19413759945349e+17,0.791015275837989,-4.83698241740492e-05
