time,IP,SXR,FIR,PD,DML
0,1538.69006143963,NaN,NaN,-0.0048828125,7.14066571095921e-05
0.0001,1552.90259959192,NaN,-9.8572904674263e+16,-0,7.89733705514763e-05
0.0002,1527.85161300074,NaN,-1.07421876440558e+17,-0.0048828125,9.20960653020337e-05
0.0003,1530.02685050157,NaN,-5.50201483176749e+16,-0.00244223187267224,8.44169304495553e-05
0.0004,1555.09004602065,NaN,-5.91825602454793e+16,-0.0048828125,7.11695011925364e-05
0.0005,1611.44858359794,NaN,-5.35224951922995e+16,-0,6.35536927729151e-05
0.0006,1638.86542694451,NaN,-5.87209962714909e+16,-0,6.14880411871803e-05
0.0007,1655.36524624157,NaN,-3.34214863887901e+16,-0,7.51783438023575e-05
0.0008,1646.13253552569,NaN,-2.05603847837248e+16,-0,7.4696406524912e-05
0.0009,1683.76804082217,NaN,-2.77283386897821e+15,-0,6.81196223084007e-05
0.001,1684.30218439921,NaN,-1.22176142729706e+16,-0,6.33129720769393e-05
0.0011,1671.55008125186,NaN,8.71380340140574e+15,-0,6.00496808129617e-05
0.0012,1682.22936849952,NaN,-7.14055701690255e+15,-0,7.07952113152819e-05
0.0013,1669.11033605157,NaN,2.69592182114461e+16,-0,8.73492723151446e-05
0.0014,1673.10105836701,NaN,4.62830133277497e+16,-0,0.000101791529224243
0.0015,1658.5262549864,NaN,7.31352421107506e+16,-0,0.000113674979343904
0.0016,1664.4017659984,NaN,8.18656705510678e+16,-0,0.000125931267379933
0.0017,1638.40021751318,NaN,6.21693663628953e+16,-0,0.000132601421344381
0.0018,1638.798684024,NaN,7.13826785209061e+16,-0,0.00012142592576079
0.0019,1638.19321490963,NaN,9.52999969159618e+16,-0,0.000118989263575289
0.002,1645.71257105394,NaN,1.01320606024277e+17,-0,0.000116895454394447
0.0021,1663.7507673004,NaN,1.3002479765511e+17,1.92856310760568e-07,0.000106737407751346
0.0022,1641.91516117076,NaN,1.12994042948195e+17,-0,0.00010405349702637
0.0023,1718.43013677415,NaN,8.1569548239156e+16,-0.00244038058659215,0.000101946873395622
0.0024,1686.89757217763,NaN,9.59030634298798e+16,-0.00488238332169433,9.82456300665316e-05
0.0025,1650.99064274827,NaN,1.03252676668274e+17,0.00244058790153634,8.21669385026638e-05
0.0026,1660.87988798816,NaN,1.45400309156744e+17,0.00488239059590297,7.92183227348114e-05
0.0027,1675.31665685363,NaN,9.95922069218555e+16,0.0048828125,8.33716132656168e-05
0.0028,1645.10414864538,NaN,1.08603460046154e+17,0.00488218328095905,7.8336108409571e-05
0.0029,1666.02132063771,NaN,1.21244504691243e+17,0.00244100253142472,7.83190624564176e-05
0.003,1625.76552524513,NaN,1.29229459387519e+17,0.0048828125,8.39559039016642e-05
0.0031,1644.66823124022,NaN,1.45192643593371e+17,-0,8.3390722755971e-05
0.0032,1625.61130739624,NaN,1.58464344768607e+17,1.22934124757875e-06,6.46350124407991e-05
