time,IP,SXR,FIR,PD,DML
0,1023.03931587956,NaN,NaN,0,-0.000110852812226133
0.0001,1017.13835156727,NaN,-5.19410033158053e+16,-0.0048828125,-0.000101270896372112
0.0002,999.234889764717,NaN,-7.3670359288012e+16,-0,-9.37109062336307e-05
0.0003,1006.0305337738,NaN,-6.43676640184871e+16,-0.00244058062732776,-0.000105194909562277
0.0004,1017.2224282556,NaN,-5.66456055785911e+16,-0,-0.000112804962131716
0.0005,1024.57727384838,NaN,-4.09340694304975e+16,-0,-0.000106965336646286
0.0006,1015.91342443804,NaN,-5.1337858911903e+16,-0,-0.000102694693574067
0.0007,1039.93226753203,NaN,-4.85717911971991e+16,-0,-0.000111093549226942
0.0008,1015.85466950169,NaN,-1.76250530905613e+16,-0,-0.000108850657715614
0.0009,1021.29820809301,NaN,-2.94436968584228e+16,-0,-9.06135732785763e-05
0.001,1014.61024925507,NaN,-1.07296255102508e+16,-0,-8.24502082584599e-05
0.0011,1026.35411616293,NaN,967063770997870,-0,-9.54581907084868e-05
0.0012,1026.94740749264,NaN,-2.16881030447135e+16,-0,-0.000106861171877793
0.0013,1036.91725056033,NaN,-1.1092330673437e+16,-0,-0.00010132181025403
0.0014,1063.43861266086,NaN,-1.56479606108594e+16,0.00488199051443202,-9.45306883317461e-05
0.0015,1058.81878180637,NaN,-3.53399421791731e+16,-0,-9.09372168757949e-05
0.0016,1054.15964805526,NaN,-3.32069742347255e+16,-0,-9.10404725772294e-05
0.0017,1053.70312616629,NaN,-3.30303911450066e+16,0.0048828125,-8.88529210513473e-05
0.0018,1055.45560661406,NaN,-2.02735862663466e+16,-0,-8.4242530576279e-05
0.0019,1082.71426498878,NaN,-1.86319693881187e+16,-0,-8.86209372730334e-05
0.002,1048.41662035813,NaN,-2.92167414526466e+16,0.00488261236609225,-9.58780040804222e-05
0.0021,1047.92567634833,NaN,-2.22715035691414e+16,-0.00244130982184462,-9.87911479119284e-05
0.0022,1095.257493422,NaN,-1.60696555964662e+16,-0,-9.52036040452952e-05
0.0023,1116.90580487723,NaN,-2.37301664233433e+16,-0.0048828125,-8.990784409754e-05
0.0024,1121.5586420313,NaN,-3.12491997015666e+16,-2.14589152836526e-07,-8.40154433558851e-05
0.0025,1105.33596194902,NaN,-6.20346968778966e+16,-0.00244222459846366,-8.09958009089583e-05
0.0026,1078.49881805255,NaN,-8.61576567675268e+16,4.21904097026071e-07,-9.79849595210629e-05
0.0027,1076.48398273195,NaN,-9.61581232961349e+16,-0,-0.000105055757162216
0.0028,1020.58513377719,NaN,-9.58049966977688e+16,-0,-9.26855121277849e-05
0.0029,1063.39532174813,NaN,-1.2429353690419e+17,-0,-9.34296200970183e-05
0.003,1062.05420298882,NaN,-1.00372741460625e+17,-0,-0.000106304494211316
0.0031,1022.148953541,NaN,-1.1081556928903e+17,-0,-0.000107994544756026
0.0032,1051.89252041225,NaN,-1.18977589359843e+17,-0,-9.65031290425739e-05
0.0033,1026.28681729738,NaN,-9.47018459101845e+16,0.00244139533868716,-8.10338219351893e-05
0.0034,1031.66776555307,NaN,-1.23363469655493e+17,-0,-8.98768283091946e-05
0.0035,1042.34887748505,NaN,-8.55720603405833e+16,-0,-0.000101967418102836
0.0036,1027.08435105688,NaN,-8.1352772464498e+16,-0,-9.70826310670215e-05
0.0037,1066.28574925972,NaN,-8.39184553156222e+16,-0,-0.000108125837375862
0.0038,1074.13667855101,NaN,-8.13822673769287e+16,-0.00488159770716945,-0.000111066627161632
0.0039,1076.08275007551,NaN,-8.16230672078536e+16,-0,-0.000104264428507207
0.004,1067.08568562137,NaN,-5.71577440986601e+16,-0,-9.54192236618248e-05
0.0041,1064.67268480846,NaN,-8.22382304907952e+16,0.0048828125,-9.88327412142727e-05
0.0042,1058.33696241387,NaN,-9.0351969127392e+16,-0.00488261964368924,-8.94782113511735e-05
0.0043,1041.31030096609,NaN,-8.12753390839188e+16,-0,-8.62450113293717e-05
0.0044,1022.46009291707,NaN,-9.94573443596503e+16,-1.45484172939604e-08,-9.42535457850814e-05
0.0045,1034.49315856512,NaN,-6.87114145727457e+16,0.00244242463919893,-9.17068126087473e-05
0.0046,989.792323631881,NaN,-8.68528814977709e+16,2.21863361218872e-07,-9.5707567734283e-05
0.0047,981.067857952575,NaN,-5.93356236645497e+16,0.0048828125,-9.68141982570537e-05
0.0048,973.95749775926,NaN,-6.77162960558741e+16,0.0048828125,-8.64659265310617e-05
