time,IP,SXR,FIR,PD,DML
0,915.332815613593,NaN,NaN,-0.0048828125,7.67805779736303e-05
0.0001,885.410726132417,NaN,-4.48756314047649e+16,-0.0048828125,8.63020843496553e-05
0.0002,871.630037696593,NaN,-5.01571671979026e+16,-0.0048828125,0.000100165009901762
0.0003,860.00633418295,NaN,-6.82803933018592e+16,-0,0.000111334412038906
0.0004,878.499250880303,NaN,-7.56570605929973e+16,-0,0.000115707657492222
0.0005,905.029497194274,NaN,-9.51473502945462e+16,-0.00244078794227189,0.000106800759986961
0.0006,916.241657056159,NaN,-8.57890428512772e+16,-0,9.78122333674225e-05
0.0007,938.343820886332,NaN,-1.1641577505326e+17,-0,9.28970914765725e-05
0.0008,956.967225903699,NaN,-1.17400789438441e+17,-0,9.76680056322272e-05
0.0009,938.867070465677,NaN,-1.19519130964179e+17,-0,0.000117157437567251
0.001,932.774971841478,NaN,-1.27522121725348e+17,-0,0.000132311305892432
0.0011,956.649949989978,NaN,-1.23398187727801e+17,-0,0.000135814180415677
0.0012,930.283853047597,NaN,-1.37284860551892e+17,-1.0293005120362e-06,0.000144610206839236
0.0013,969.891166661157,NaN,-1.22746074267061e+17,-0,0.000157777808794332
0.0014,955.488944031911,NaN,-1.36235326593387e+17,-8.21985567978924e-07,0.000166186710264583
0.0015,959.493680126313,NaN,-1.42450946497288e+17,-0,0.000170966934955527
0.0016,1008.3907227943,NaN,-1.59456208293906e+17,-0.00488219782937621,0.000161049508305402
0.0017,986.021653032465,NaN,-1.70224165021829e+17,-0,0.000142137845368341
0.0018,1005.05611364437,NaN,-1.57512137891423e+17,-0,0.000138757415156176
0.0019,986.622584981656,NaN,-1.58511133186242e+17,-0.00244171008965999,0.000135330498145107
0.002,986.107524141696,NaN,-1.6168683697076e+17,-2.00133907752947e-07,0.000133261402096645
0.0021,992.285308481777,NaN,-1.74371173970198e+17,-0,0.000134488770603791
0.0022,968.294951765727,NaN,-1.77907620279815e+17,-7.27420864698021e-09,0.000134157961883268
0.0023,973.754028617821,NaN,-1.82762986194711e+17,-0.0048828125,0.000121982549402765
0.0024,953.081807667238,NaN,-1.89951717460645e+17,-0.0048828125,0.000113388841446166
0.0025,928.770140133223,NaN,-1.74114853016667e+17,-0.0048828125,0.000117648184925444
0.0026,916.121880132831,NaN,-2.02755278404356e+17,-0.0048828125,0.000119747631385516
0.0027,958.794757248911,NaN,-2.13681751228575e+17,-0.0048828125,0.000110765890382034
0.0028,943.881430874739,NaN,-2.19508968692861e+17,-0,0.000104069974729766
0.0029,969.643093439572,NaN,-2.0668724734975e+17,-0,0.00010210374706011
0.003,957.192203903107,NaN,-1.94323655961845e+17,-0,0.000101101147797454
0.0031,959.127671031595,NaN,-1.94264231196011e+17,-0,9.32011491190298e-05
0.0032,990.480611142835,NaN,-1.91092591024138e+17,-0,9.57083838971816e-05
0.0033,960.445288577245,NaN,-1.92410904442899e+17,-0,0.000104162670774785
0.0034,924.454234740134,NaN,-1.85811293649645e+17,-0,0.000110807729182189
0.0035,889.738478617472,NaN,-1.75069301314848e+17,-0.0048828125,0.000120075394915493
0.0036,895.009830872644,NaN,-1.64379741373933e+17,-0.0048819977886408,0.000129432648259739
0.0037,903.73954843168,NaN,-1.56969826001363e+17,-0,0.000131623853147013
0.0038,862.437867235222,NaN,-1.48826430334533e+17,-6.07396415274646e-07,0.000124435824281131
0.0039,840.458241535837,NaN,-1.42682673313238e+17,-0.00244191022356761,0.000126554631685831
0.004,816.902607996871,NaN,-1.42784596652258e+17,-4.00267815505893e-07,0.000130608420720389
0.0041,813.6131131879,NaN,-1.34765075988333e+17,-0,0.000128777294815102
0.0042,837.272247877868,NaN,-1.37385431570251e+17,-0,0.000121425983397716
0.0043,840.496297290185,NaN,-1.2611958471781e+17,-0.00244131709944108,0.000103664074433164
0.0044,868.584917300055,NaN,-1.24840362192202e+17,-1.45484172939604e-08,8.59842268263319e-05
0.0045,927.131812432491,NaN,-1.25841179959649e+17,-0.0048828125,7.67570566608686e-05
0.0046,905.242628712334,NaN,-1.23641937563447e+17,-0.0048828125,8.62178093711435e-05
0.0047,927.644829610704,NaN,-1.19513472304982e+17,-0.0048828125,0.000104281283564408
